Contract,Name,Max Drawdown,Sharpe
A01.DCE,豆一连一,-0.82434976,0.07300239
AG01.SHF,沪银连一,-0.602818234,-0.036020978
AL01.SHF,沪铝连一,-0.695199964,0.473047399
AU01.SHF,沪金连一,-0.604011315,0.497124569
B01.DCE,豆二连一,-0.550997286,0.535258067
BB01.DCE,胶合板连一,-0.572243582,-0.224538048
BU01.SHF,沥青连一,-0.213831325,1.11358425
C01.DCE,玉米连一,-0.508083061,0.644100554
CF01.CZC,郑棉连一,-0.655539088,0.389622032
CS01.DCE,玉米淀粉连一,-0.235037443,0.526732303
CU01.SHF,沪铜连一,-0.700534585,0.612191343
FB01.DCE,纤维板连一,-0.421742746,-0.041109604
FG01.CZC,玻璃连一,-0.231495343,0.888592768
FU01.SHF,燃油连一,-0.883843903,0.067626363
HC01.SHF,热轧卷板连一,-0.648946546,0.037665772
I01.DCE,铁矿石连一,-0.431310868,0.505863003
IC01.CFE,中证500期货次月连续,-0.095636336,0.222072364
IF01.CFE,沪深300期货次月,-0.480887639,0.442624054
IH01.CFE,上证50期货次月连续,-0.40655275,-1.328998721
J01.DCE,焦炭连一,-0.664993313,0.751098391
JD01.DCE,鸡蛋连一,-0.397240439,-0.019646751
JM01.DCE,焦煤连一,-0.225094051,0.988679635
JR01.CZC,粳稻连一,-0.376955197,-0.871474203
L01.DCE,塑料连一,-0.93094314,-0.260497801
LR01.CZC,晚籼稻连一,-0.321473725,0.321278401
M01.DCE,豆粕连一,-0.971321687,-0.05057243
MA01.CZC,甲醇连一,-0.233073268,0.548085331
NI01.SHF,沪镍连一,-0.280256121,-0.050067062
OI01.CZC,菜油连一,-0.546356615,0.419409758
P01.DCE,棕榈油连一,-0.46562462,0.501488333
PB01.SHF,沪铅连一,-0.410278573,0.655099566
PM01.CZC,普麦连一,-0.384786156,-0.997599975
PP01.DCE,聚丙烯连一,-0.367108067,0.445307058
RB01.SHF,螺纹钢连一,-0.791787831,0.325749393
RI01.CZC,早籼稻连一,-0.248996707,0.542658004
RM01.CZC,菜粕连一,-0.5212252,0.346875879
RS01.CZC,菜籽连一,-0.484002635,-0.328365881
RU01.SHF,橡胶连一,-0.842316578,0.512103436
SF01.CZC,硅铁连一,-0.267550145,0.301175292
SM01.CZC,锰硅连一,-0.238488688,0.512556978
SN01.SHF,沪锡连一,-0.107751746,1.207597217
SR01.CZC,白糖连一,-0.523902107,0.65213827
T01.CFE,10年期国债期货下季连续,-0.267748512,0.1854909
TA01.CZC,PTA连一,-0.741828775,0.317397551
TF01.CFE,5年期国债期货下季连续,-0.456824295,0.148535746
V01.DCE,PVC连一,-0.603523842,0.228115096
WH01.CZC,强麦连一,-0.846457827,-0.035631023
WR01.SHF,线材连一,-0.491668718,0.174091894
Y01.DCE,豆油连一,-0.541075006,0.756977163
ZC01.CZC,动力煤连一,-0.293593988,0.725128462
ZN01.SHF,沪锌连一,-0.661550639,0.387675152
